,Oped_log,web_log
2,4.57,4.81
3,4.21,4.45
4,3.61,3.86
5,3.02,3.27
6,2.49,2.73
7,2.06,2.27
8,1.71,1.93
9,1.41,1.59
10,1.2,1.36
11,1.04,1.15
12,0.85,0.85
13,0.48,0.48
14,0.0,0.0
15,0.0,0.0
